Age,Gender,City,Position ,Total years of experience,Years of experience in Germany,Seniority level,Your main technology / programming language,Other technologies/programming languages you use often,Yearly brutto salary (without bonus and stocks) in EUR,Yearly bonus + stocks in EUR,Annual brutto salary (without bonus and stocks) one year ago. Only answer if staying in the same country,Annual bonus+stocks one year ago. Only answer if staying in same country,Number of vacation days,Employment status,Сontract duration,Main language at work,Company size,Company type,Have you lost your job due to the coronavirus outbreak?,"Have you been forced to have a shorter working week (Kurzarbeit)? If yes, how many hours per week","Have you received additional monetary support from your employer due to Work From Home? If yes, how much in 2020 in EUR"
32.0,male,hamburg,Management & Leadership,7.0,2.0,Senior,,SQL,85000.0,5000,85000.0,5000,27,Full-time employee,Unlimited contract,English,101-1000,Product,No,,350
30.0,female,berlin,Software Development,4.0,4.0,Middle,,"Python, Java / Scala, SQL, AWS, Kubernetes, Docker",56000.0,,55000.0,,30,Full-time employee,Unlimited contract,English,1000+,Product,No,,0
29.0,male,stuttgart,Software Development,7.0,5.0,Middle,,,70000.0,0,70000.0,0,30,Full-time employee,Unlimited contract,English,51-100,Product,No,,
32.0,female,berlin,Operations & Support,10.0,,Middle,,Docker,68000.0,,62000.0,,30,Full-time employee,Unlimited contract,English,1000+,Product,No,,
34.0,male,berlin,Operations & Support,10.0,3.0,Senior,,"Python, Javascript / Typescript, AWS, Docker",70000.0,,65000.0,,30,Full-time employee,Unlimited contract,English,1000+,Product,No,40.0,0
30.0,male,berlin,Data & AI,6.0,3.0,Senior,,"Python, SQL, AWS, Google Cloud, Docker",72000.0,85000,65000.0,65000,27,Full-time employee,Unlimited contract,English,1000+,Startup,No,,
40.0,male,berlin,Management & Leadership,15.0,6.0,Head,,"Python, SQL, Perl, AWS, Google Cloud, Docker",80000.0,0,65000.0,0,28,Full-time employee,Unlimited contract,English,1000+,Product,No,,
35.0,male,berlin,Software Development,15.0,4.0,Principal,,"Python, Swift, Java / Scala",77000.0,20000,77000.0,20000,30,Full-time employee,Unlimited contract,English,1000+,Product,No,,
31.0,male,berlin,Software Development,8.0,1.0,Senior,,"Kotlin, Java / Scala, AWS",77000.0,0,72000.0,0,27,Full-time employee,Unlimited contract,English,1000+,Product,No,,
38.0,male,berlin,Data & AI,15.0,3.0,Senior,,"Python, SQL, AWS",56000.0,59000,56000.0,59000,21,Full-time employee,Unlimited contract,English,11-50,Product,No,0.0,0
39.0,male,hamburg,Data & AI,10.0,10.0,Senior,,"Python, R, SQL",80000.0,0,80000.0,0,30,Full-time employee,Unlimited contract,English,1000+,Energy ,No,,
35.0,male,berlin,Software Development,13.0,5.0,Senior,,"PHP, Javascript / Typescript",90000.0,,82000.0,,31,Full-time employee,Unlimited contract,English,up to 10,Startup,No,,
30.0,female,berlin,Operations & Support,5.0,2.0,Middle,,,54000.0,,,,28,Full-time employee,Unlimited contract,English,11-50,Product,No,,
29.0,female,berlin,Data & AI,0.0,0.0,intern,,"Python, SQL, AWS, Google Cloud, Docker",20000.0,20000,,,25,Full-time employee,Temporary contract,English,1000+,Product,No,,
36.0,male,berlin,Management & Leadership,18.0,10.0,Head,,"Python, Swift, Java / Scala",98000.0,25000,98000.0,25000,30,Full-time employee,Unlimited contract,English,1000+,Product,No,32.0,0
41.0,male,berlin,Software Development,20.0,5.0,Senior,,"Python, SQL, AWS, Kubernetes, Docker",93000.0,1000,88000.0,10000,29,Full-time employee,Unlimited contract,English,1000+,Product,No,40.0,1000
41.0,male,berlin,Software Development,18.0,7.0,Lead,,"SQL, Google Cloud, Kubernetes, Docker",100000.0,100000,80000.0,80000,28,Full-time employee,Unlimited contract,English,51-100,Product,No,,
28.0,female,berlin,Data & AI,6.0,1.0,Senior,,"Python, R, SQL",70000.0,0,,,27,Full-time employee,Unlimited contract,English,1000+,Product,No,,700
33.0,male,berlin,Software Development,10.0,3.0,Lead,,"Javascript / Typescript, AWS, Docker",75000.0,0,70000.0,0,26,Full-time employee,Unlimited contract,English,101-1000,Startup,No,36.0,0
31.0,male,munich,Software Development,3.0,3.0,Middle,,"Javascript / Typescript, Java / Scala",63000.0,63909,50400.0,50400,30,Full-time employee,Unlimited contract,German,51-100,Product,No,,
29.0,male,berlin,Software Development,5.0,1.0,Senior,,"Java / Scala, SQL, AWS, Kubernetes, Docker",70000.0,0,,,27,Full-time employee,Unlimited contract,English,1000+,Product,No,,700
23.0,male,berlin,Software Development,3.0,1.0,Middle,,,80000.0,100000,,,28,Full-time employee,Unlimited contract,English,1000+,Product,No,,400
25.0,male,berlin,Data & AI,4.5,2.0,Middle,spark,Python,75000.0,15000,,,30,Full-time employee,Unlimited contract,English,11-50,Startup,No,0.0,0
34.0,male,berlin,Operations & Support,10.0,5.0,Lead,,"Javascript / Typescript, SQL, AWS, Docker",85000.0,,73000.0,,30,Full-time employee,Unlimited contract,English,101-1000,Startup,No,,
45.0,male,berlin,Software Development,30.0,1.0,Senior,,"Javascript / Typescript, Go, AWS, Google Cloud, Docker",55000.0,0,55000.0,0,24,Full-time employee,Unlimited contract,English,11-50,Startup,No,26.0,0
37.0,male,berlin,Software Development,15.0,1.0,Senior,,"Python, C/C++",78000.0,0,78000.0,0,28,Full-time employee,Unlimited contract,English,1000+,Product,No,0.0,
31.0,male,berlin,Software Development,9.0,5.0,Lead,,"AWS, Docker",99000.0,99000,89000.0,89000,30,Full-time employee,Unlimited contract,English,101-1000,Startup,No,,
32.0,male,amsterdam,Software Development,15.0,0.0,Senior,,"Python, Javascript / Typescript, SQL, AWS, Kubernetes, Docker",90000.0,0,90000.0,0,25,Full-time employee,Unlimited contract,English,11-50,Product,No,0.0,0
45.0,female,berlin,Management & Leadership,15.0,7.0,Lead,,,52000.0,,52000.0,,28,Full-time employee,Unlimited contract,English,11-50,Product,No,2.0,No
42.0,male,wroclaw,Software Development,16.0,,Senior,,"Java / Scala, Go, AWS, Google Cloud, Kubernetes, Docker",36000.0,,,,30,Full-time employee,Unlimited contract,English,1000+,Product,No,,
23.0,male,berlin,Data & AI,4.0,,Middle,,"Python, SQL",45000.0,0,,,26,Full-time employee,Unlimited contract,English,11-50,Product,No,,
36.0,male,berlin,Software Development,14.0,12.0,Middle,,Docker,75000.0,0,73500.0,0,30,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
40.0,male,karlsruhe,Management & Leadership,20.0,6.0,Lead,,"Python, .NET, Azure, Kubernetes, Docker",85000.0,15000,80000.0,10000,30,Full-time employee,Unlimited contract,English,1000+,Enterprise,No,0.0,300
28.0,male,berlin,Software Development,7.0,3.0,Senior,,"Ruby, Go, Perl",95000.0,40000,,,28,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
35.0,male,frankfurt,Software Development,15.0,15.0,Senior,,"Python, Javascript / Typescript, SQL, Docker",63000.0,7000,63000.0,0,30,Full-time employee,Unlimited contract,German,51-100,Product,No,0.0,0
37.0,male,berlin,Software Development,12.0,3.0,Senior,,"Javascript / Typescript, Java / Scala, Google Cloud, Docker",102000.0,,78000.0,,30,Full-time employee,Unlimited contract,English,101-1000,Startup,No,,400
33.0,male,berlin,Software Development,10.0,6.0,Lead,,C/C++,95000.0,15000,75000.0,10000,30,Full-time employee,Unlimited contract,English,1000+,Product,No,32.0,0
33.0,male,berlin,Software Development,13.0,5.0,Senior,,"Java / Scala, SQL, Kubernetes, Docker",78600.0,,78600.0,,30,Full-time employee,Unlimited contract,English,101-1000,Product,No,32.0,0
31.0,male,munich,Software Development,10.0,4.0,Lead,,"Python, Javascript / Typescript, AWS, Docker",70000.0,77000,,64000,28,Full-time employee,Unlimited contract,English,101-1000,Product,No,,1500
31.0,male,berlin,Software Development,4.0,2.0,Middle,,"Kotlin, Javascript / Typescript, Docker",67000.0,70500,50000.0,55000,30,Full-time employee,Unlimited contract,English,1000+,Product,No,0.0,0
28.0,male,wolfsburg,Software Development,3.0,1.0,Middle,,SQL,42000.0,,42000.0,800,30,Full-time employee,Unlimited contract,English,101-1000,Consulting / Agency,No,,1000
31.0,male,boeblingen,Operations & Support,6.0,3.0,Senior,,"Python, Squish",53000.0,0,53000.0,0,30,Full-time employee,Unlimited contract,English,1000+,Consulting / Agency,No,0.0,0
40.0,male,cupertino,Software Development,20.0,0.0,Lead,,,250000.0,450000,230000.0,300000,45,Full-time employee,Unlimited contract,English,1000+,Product,No,,
25.0,female,frankfurt,Software Development,3.0,2.0,Middle,,"Javascript / Typescript, SQL",53000.0,5000,48000.0,2004,30,Full-time employee,Unlimited contract,German,1000+,Product,No,,550
35.0,male,berlin,Data & AI,9.0,9.0,Senior,,"Python, SQL, AWS, Kubernetes, Docker",77000.0,0,70000.0,0,28,Full-time employee,Unlimited contract,German,101-1000,Startup,No,,
35.0,male,berlin,Software Development,15.0,10.0,Senior,,"C/C++, .NET, Go, Docker",80000.0,80000,67000.0,67000,30,Full-time employee,Unlimited contract,English,11-50,Consulting / Agency,No,24.0,0
41.0,male,berlin,Operations & Support,20.0,14.0,Senior,,"Python, Javascript / Typescript, SQL, AWS, Google Cloud, Kubernetes, Docker",58800.0,20700,56400.0,17000,35,Full-time employee,Unlimited contract,German,1000+,Bloody enterprise,No,,
33.0,male,berlin,Operations & Support,8.0,3.0,Senior,,"Python, AWS, Kubernetes, Docker",75000.0,1000,72500.0,0,30,Full-time employee,Unlimited contract,English,1000+,service,No,0.0,500
33.0,male,berlin,Data & AI,13.0,3.0,Senior,,"Python, Java / Scala, SQL, AWS, Kubernetes, Docker",85000.0,5000,75000.0,75000,26,Full-time employee,Unlimited contract,English,101-1000,Startup,No,20.0,500
38.0,male,munich,Software Development,15.0,2.0,Senior,,"Java / Scala, Kubernetes, Docker",70000.0,75000,70000.0,75000,26,Full-time employee,Unlimited contract,English,11-50,Product,No,,
35.0,male,berlin,Software Development,10.0,6.0,Senior,,"Python, PHP, Javascript / Typescript, SQL",78000.0,78000,78000.0,78000,27,Full-time employee,Unlimited contract,German,up to 10,Product,No,,0
36.0,female,berlin,Data & AI,5.0,5.0,Senior,,"Python, Java / Scala, SQL, AWS",75000.0,0,75000.0,0,28,Part-time employee,Unlimited contract,English,51-100,Startup,No,,
49.0,male,munich,Software Development,27.0,19.0,Senior,,"Javascript / Typescript, Java / Scala, SQL, Docker, Groovy",57000.0,0,57000.0,0,30,Full-time employee,Unlimited contract,German,101-1000,Consulting / Agency,No,,
32.0,male,berlin,Software Development,10.0,7.0,Lead,,Javascript / Typescript,120000.0,0,90000.0,0,0,Self-employed (freelancer),Temporary contract,Deuglisch,1000+,Concern,Yes,0.0,yes
32.0,female,berlin,Software Development,6.0,4.0,Lead,,"Python, Kotlin, AWS, Docker",75000.0,,75000.0,,28,Full-time employee,Unlimited contract,English,101-1000,Startup,No,30.0,
27.0,female,berlin,Data & AI,1.0,1.0,Middle,,"Python, SQL",63000.0,0,42000.0,46000,27,Full-time employee,Unlimited contract,English,1000+,Product,No,,600
31.0,male,frankfurt,Data & AI,6.0,6.0,Senior,,"Python, AWS, Docker",60000.0,15000,,,30,Full-time employee,Unlimited contract,English,51-100,Consulting / Agency,No,,
31.0,male,paris,Software Development,8.0,0.0,Senior,,Swift,60000.0,6000,60000.0,6000,30,Full-time employee,Unlimited contract,English,101-1000,Product,No,0.0,0
28.0,male,cologne,Software Development,4.0,4.0,Middle,,Pl/sql,44000.0,6000,44000.0,6000,30,Full-time employee,Unlimited contract,German,101-1000,Product,No,,
28.0,female,berlin,Software Development,3.0,3.0,Middle,,,54500.0,,52000.0,,28,Full-time employee,Unlimited contract,English,101-1000,Product,No,0.0,
27.0,male,berlin,Software Development,2.0,1.0,Lead,dwh,SQL,90000.0,7000,97000.0,87000,31,Full-time employee,Unlimited contract,English,1000+,Product,No,,
29.0,male,berlin,Software Development,8.0,5.0,Head,,"Kubernetes, Docker",82500.0,0,65000.0,0,30,Full-time employee,Unlimited contract,English,1000+,Product,No,,
32.0,female,munich,Data & AI,10.0,2.0,Middle,,"Python, SQL, AWS, Docker, Spark, Airflow",75000.0,0,70000.0,0,27,Full-time employee,Unlimited contract,English,11-50,Startup,Yes,,0
28.0,male,berlin,Operations & Support,5.0,1.0,Middle,,Python,60000.0,0,58000.0,0,30,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
34.0,female,berlin,,13.0,3.0,Principal,,"AWS, Terraform, Scala Spark, ",108000.0,,90000.0,,28,Full-time employee,Unlimited contract,English,1000+,Product,No,30.0,500
38.0,male,dublin,Software Development,16.0,0.0,Senior,,"Swift, Java / Scala",85000.0,0,85000.0,85000,24,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
29.0,male,berlin,Data & AI,3.0,3.0,Middle,,"Python, SQL, Azure",54000.0,6000,45000.0,0,30,Full-time employee,Unlimited contract,German,1000+,Utilities,No,0.0,0
30.0,male,stockholm,Software Development,7.0,2.5,Senior,,"Python, C/C++, Java / Scala, AWS, Kubernetes, Docker",65000.0,9000,60000.0,9000,33,Full-time employee,Unlimited contract,English,1000+,Product,No,0.0,0
33.0,female,berlin,Other Roles,6.0,1.0,Middle,sketch,,42000.0,0,,,28,Full-time employee,Unlimited contract,English,51-100,Product,Yes,,
30.0,male,paderborn,Data & AI,6.0,2.0,Junior,,"Python, SQL, Docker",51000.0,4250,,,30,Full-time employee,Unlimited contract,German,101-1000,Product,No,,
31.0,male,berlin,Management & Leadership,5.0,3.0,Lead,,,76000.0,20000,760000.0,20000,28,Full-time employee,Unlimited contract,English,51-100,Startup,No,,
37.0,male,berlin,Software Development,16.0,2.0,Senior,,"Kotlin, C/C++, Swift, Ruby",65000.0,0,55000.0,0,30,Full-time employee,Unlimited contract,English,101-1000,Product,No,0.0,0
32.0,male,amsterdam,Software Development,13.0,,Senior,,Kotlin,85000.0,89000,80000.0,84000,27,Full-time employee,Unlimited contract,English,1000+,Bank,No,,
32.0,female,munich,Operations & Support,9.0,9.0,Middle,,,60000.0,,,,30,Full-time employee,Unlimited contract,German,101-1000,Product,No,,500
40.0,male,berlin,Management & Leadership,13.0,9.0,Head,,SQL,90000.0,10000,75000.0,,30,Full-time employee,Unlimited contract,English,1000+,Product,No,,300
30.0,male,berlin,Software Development,7.0,1.0,Senior,,"Go, AWS, Kubernetes",86000.0,,82600.0,,30,Full-time employee,Unlimited contract,English,1000+,Product,No,,500
30.0,male,berlin,Software Development,8.0,2.0,Senior,,,60000.0,0,60000.0,0,~25,Full-time employee,Unlimited contract,English,51-100,Product,No,20.0,0
32.0,male,berlin,Operations & Support,10.0,3.0,Senior,,"Java / Scala, Google Cloud, Docker",81000.0,45000,81000.0,22000,30,Full-time employee,Unlimited contract,English,1000+,Product,No,0.0,1000
32.0,male,cologne,Operations & Support,7.0,2.0,Middle,k8s,"Python, Google Cloud, Kubernetes, Docker",60000.0,,70000.0,,30,Full-time employee,Unlimited contract,English,101-1000,Product,Yes,,
34.0,male,munich,Software Development,12.0,8.0,Senior,,"Java / Scala, SQL, Go, Google Cloud, Kubernetes, Docker",74000.0,0,69000.0,0,30,Full-time employee,Unlimited contract,English,101-1000,Product,No,32.0,0
43.0,male,cologne,Software Development,10.0,7.0,Senior,,PHP,57600.0,8000,57600.0,55000,26,Full-time employee,Unlimited contract,German,101-1000,Product,No,,
33.0,male,munich,Software Development,13.0,4.0,Senior,,"Python, Kotlin, Javascript / Typescript, AWS, Kubernetes, Docker",70000.0,,64000.0,,24,Full-time employee,Unlimited contract,English,101-1000,Startup,No,,
28.0,female,munich,Operations & Support,8.0,4.0,Senior,,"Kotlin, Java / Scala, AWS, Kubernetes, Docker",75000.0,0,64000.0,6000,30,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
33.0,male,hamburg,Software Development,11.0,5.0,Senior,,"Python, SQL",65000.0,,,,28,Full-time employee,Unlimited contract,English,11-50,Product,No,0.0,0
33.0,male,munich,Software Development,11.0,4.0,Lead,frontend:,"Javascript / Typescript, AWS, Kubernetes, Docker",90000.0,,75000.0,,28,Full-time employee,Unlimited contract,English,1000+,Product,No,,
51.0,male,berlin,Software Development,30.0,30.0,Senior,vb,"Python, PHP, Javascript / Typescript, .NET, SQL, SAP / ABAP",60000.0,5000,50000.0,5000,30,Full-time employee,Unlimited contract,German,1000+,Consulting / Agency,No,,
35.0,male,berlin,Software Development,8.0,5.0,Senior,,"Java / Scala, Go, AWS, Google Cloud, Azure, Kubernetes, Docker",90000.0,100000,85000.0,50000,30,Full-time employee,Unlimited contract,English,1000+,Product,No,,
35.0,male,berlin,Software Development,1.0,1.0,Junior,fbd,"PHP, Javascript / Typescript, SQL",30000.0,,,,26,Full-time employee,Unlimited contract,German,up to 10,Product,No,,
33.0,male,berlin,Data & AI,10.0,6.0,Senior,,"Python, Java / Scala",90000.0,,,,,Full-time employee,Unlimited contract,English,1000+,Product,,,
28.0,male,munich,Software Development,6.0,3.0,Middle,,"C/C++, Linux Kernel",64000.0,9000,,,30,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
21.0,female,cologne,Software Development,2.0,2.0,Middle,,,50000.0,,,,,,,,,,,,
25.0,male,berlin,Software Development,2.0,2.0,Middle,,Swift,44000.0,,43000.0,,27,Full-time employee,Unlimited contract,English,1000+,Product,No,,
25.0,female,hamburg,Operations & Support,1.0,1.0,Student,,"Java / Scala, SQL",12000.0,0,12000.0,0,12,working student,Temporary contract,English,1000+,Product,No,,
32.0,male,berlin,Software Development,10.0,3.0,Lead,,"Python, Javascript / Typescript, Ruby, SQL, AWS, Docker",80000.0,0,68500.0,0,28,Full-time employee,Unlimited contract,English,51-100,Product,No,,
32.0,male,berlin,Software Development,9.0,3.0,Lead,,"Python, C/C++, Go",73000.0,1000,65000.0,1000,28,Full-time employee,Unlimited contract,English,101-1000,Product,No,,300
26.0,male,berlin,Software Development,9.0,4.0,Head,,"Kotlin, Ruby, Go, Rust, AWS, Kubernetes, Docker",120000.0,50000,95000.0,40000,24,Full-time employee,Unlimited contract,English,1000+,Product,Yes,0.0,No
25.0,male,berlin,Software Development,6.0,3.0,Senior,,"AWS, Docker",71750.0,6000,66000.0,5500,30,Full-time employee,Unlimited contract,English,1000+,Product,No,,
27.0,female,berlin,Software Development,5.0,,Middle,,"Python, Kotlin, Java / Scala, Google Cloud, Kubernetes",65000.0,0,52000.0,0,30,Full-time employee,Unlimited contract,English,51-100,Product,No,,
28.0,male,frankfurt,Software Development,7.0,5.0,Senior,,"Javascript / Typescript, AWS, Azure, Docker",80000.0,0,76000.0,4000,29,Full-time employee,Unlimited contract,English,11-50,Startup,No,,
32.0,female,munich,Operations & Support,8.0,1.0,Senior,,"Javascript / Typescript, C#",60000.0,70000,,,26,Full-time employee,Unlimited contract,English,101-1000,Consulting / Agency,No,,
28.0,male,karlsruhe,Software Development,7.0,3.0,Senior,,"Kotlin, Javascript / Typescript, AWS, Kubernetes, Docker",66000.0,3000,66000.0,76000,28,Full-time employee,Unlimited contract,English,1000+,Product,No,,
34.0,male,berlin,Software Development,13.0,1.0,Lead,,"Javascript / Typescript, SQL, AWS",85000.0,,,,30,Full-time employee,Unlimited contract,English,101-1000,Product,No,,no
35.0,male,konstanz,Data & AI,10.0,10.0,Middle,,"Python, Azure, Kubernetes",65000.0,0,65000.0,0,25,Full-time employee,Unlimited contract,English,51-100,Product,No,0.0,0
38.0,male,berlin,Management & Leadership,20.0,9.0,Head,,"Python, Kotlin, Java / Scala, SQL, AWS, Kubernetes, Docker",130000.0,20000,130000.0,20000,30,Full-time employee,Unlimited contract,English,1000+,Corporation,Yes,,
33.0,male,berlin,Software Development,9.0,4.0,Senior,,"Python, Javascript / Typescript, Java / Scala, SQL, Go, AWS, Kubernetes, Docker",81900.0,102600,,,,Full-time employee,Unlimited contract,English,1000+,Startup,No,,
36.0,male,berlin,Management & Leadership,10.0,2.0,Senior,,SQL,85000.0,,80000.0,,30,Full-time employee,Unlimited contract,English,1000+,Product,No,,
31.0,female,ulm,Operations & Support,8.0,3.0,Middle,,Java / Scala,45000.0,,39000.0,,30,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
43.0,male,stuttgart,Data & AI,20.0,15.0,Senior,,"SQL, SAP / ABAP",82000.0,12000,82000.0,10000,32,Full-time employee,Unlimited contract,German,1000+,Product,No,,
38.0,male,berlin,Data & AI,15.0,2.0,Head,,"Python, SQL, SAP / ABAP, AWS",100000.0,120000,80000.0,,27,Full-time employee,Unlimited contract,English,101-1000,Startup,No,25.0,
35.0,male,munich,Operations & Support,17.0,5.0,Lead,,"R, AWS, Google Cloud, Kubernetes, Docker",72000.0,8000,72500.0,8000,30,Full-time employee,Unlimited contract,English,1000+,Consulting / Agency,No,8.0,0
33.0,male,dusseldorf,Management & Leadership,6.0,,Senior,,,70000.0,,,,,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
33.0,male,dusseldorf,Management & Leadership,6.0,,Senior,,,70000.0,,,,,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
32.0,male,berlin,Operations & Support,10.0,1.0,Middle,,"Python, SQL, Go, AWS, Google Cloud, Azure, Kubernetes, Docker",62000.0,0,,,30,Full-time employee,Unlimited contract,English,101-1000,Product,No,30.0,
43.0,male,berlin,Operations & Support,21.0,26.0,Lead,,"Python, PHP, SQL, Perl, AWS, Google Cloud, Kubernetes, Docker",83000.0,,75000.0,,28,Full-time employee,Unlimited contract,German,51-100,Startup,No,,
37.0,male,stuttgart,Software Development,,,Senior,,,70000.0,,,,30,Full-time employee,Unlimited contract,,,,No,,
37.0,male,berlin,Software Development,17.0,1.0,Senior,,Javascript / Typescript,77000.0,500,71000.0,0,28,Full-time employee,Unlimited contract,English,1000+,Product,No,,500
30.0,male,stuttgart,Software Development,8.0,,Middle,,SQL,71000.0,7100,69000.0,6900,,Full-time employee,Unlimited contract,English,101-1000,Product,No,,No
29.0,male,berlin,Software Development,5.0,4.0,Senior,,Swift,65000.0,,58000.0,,27,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
41.0,male,berlin,Software Development,18.0,3.0,Senior,,"Javascript / Typescript, AWS, Docker, Node",120000.0,,92000.0,,30,Self-employed (freelancer),,English,up to 10,Startup,No,,
38.0,male,stuttgart,Software Development,4.0,2.0,Middle,,"Javascript / Typescript, SQL, Docker",43000.0,0,43000.0,0,30,Full-time employee,Unlimited contract,English,up to 10,Consulting / Agency,No,30.0,
,male,frankfurt,Software Development,18.0,1.0,Senior,,"Javascript / Typescript, .NET, SQL, Google Cloud",81000.0,3375,,,30,Full-time employee,Unlimited contract,English,1000+,Product,No,0.0,0
29.0,male,dusseldorf,Software Development,6.0,6.0,Middle,,"Javascript / Typescript, Azure",55000.0,0,,,30,Full-time employee,Unlimited contract,German,11-50,Product,No,,
35.0,male,berlin,Operations & Support,12.0,3.0,Senior,,"Javascript / Typescript, SQL",63000.0,,56000.0,,30,Full-time employee,Unlimited contract,English,101-1000,Product,Yes,30.0,
41.0,male,munich,Software Development,19.0,5.0,Senior,,"PHP, Java / Scala, SQL, AWS, Docker",75000.0,0,73000.0,0,27,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
29.0,male,barcelona,Data & AI,0.0,0.0,Junior,,"R, SQL",22000.0,2000,11000.0,500,22,Full-time employee,Unlimited contract,English,51-100,Product,No,,
26.0,female,dusseldorf,Data & AI,5.0,5.0,Middle,,"Python, SQL",65000.0,77000,46000.0,50000,30,Full-time employee,Unlimited contract,German,up to 10,Startup,No,,
32.0,male,paris,Operations & Support,12.0,3.0,Senior,,,62000.0,,,,,Full-time employee,,English,1000+,,,,
30.0,male,berlin,Data & AI,6.0,1.0,Middle,,AWS,65000.0,1000,,,27,Full-time employee,Unlimited contract,English,1000+,Product,No,,600
26.0,male,london,Operations & Support,3.0,0.0,Middle,networking,"Python, AWS",37000.0,,,,25,Full-time employee,Unlimited contract,English,51-100,Product,No,,
35.0,female,munich,Software Development,4.0,4.0,Middle,,"PHP, Javascript / Typescript, Java / Scala",51000.0,4000,47000.0,3500,30,Full-time employee,Unlimited contract,German,101-1000,Insurance,No,,
47.0,male,boeblingen,Software Development,25.0,15.0,"no idea, there are no ranges in the firm ",,"Java / Scala, SQL",70000.0,depends,,,30,Full-time employee,Unlimited contract,German,11-50,Consulting / Agency,No,,
33.0,male,berlin,Software Development,10.0,10.0,Head,,,93000.0,,,,,Full-time employee,,English,101-1000,Startup,No,,200
44.0,male,kyiv,Data & AI,15.0,0.0,Head,uml,,60000.0,0,,,30,Self-employed (freelancer),Unlimited contract,English,101-1000,Consulting / Agency,No,,
40.0,,berlin,Software Development,13.0,13.0,Senior,,"Python, Javascript / Typescript, AWS, Docker",72000.0,,72000.0,0,30,Full-time employee,Unlimited contract,English,51-100,Startup,No,,
32.0,male,berlin,Software Development,13.0,2.0,Senior,,"PHP, Javascript / Typescript",70000.0,1000,65000.0,1000,25,Full-time employee,Unlimited contract,English,11-50,Product,No,,0
33.0,male,dusseldorf,Data & AI,2.0,2.0,Lead,,"Python, Docker",70000.0,6000,60000.0,66000,25,Full-time employee,Unlimited contract,English,1000+,Product,No,,1000
32.0,male,munich,Software Development,8.0,2.0,Senior,,"Javascript / Typescript, AWS",65000.0,5000,,,30,Full-time employee,Unlimited contract,English,1000+,Product,No,30.0,
26.0,male,berlin,Data & AI,4.0,3.0,Middle,,"Python, Java / Scala, SQL, AWS, Google Cloud, Azure",51000.0,,46000.0,,30,Full-time employee,Unlimited contract,English,11-50,Consulting / Agency,No,,0
,male,berlin,Operations & Support,10.0,5.0,Senior,,"Python, Go",90000.0,,80000.0,,,Full-time employee,Unlimited contract,English,1000+,Product,No,,
22.0,diverse,cologne,Operations & Support,1.0,1.0,Head,cobol,Perl,159000.0,35000,98000.0,23000,45,Full-time employee,Unlimited contract,German,1000+,Product,No,30.0,2000
43.0,male,berlin,Management & Leadership,20.0,20.0,Lead,,"C/C++, .NET, Java / Scala, AWS, Kubernetes, Docker",105000.0,0,105000.0,0,30,Full-time employee,Unlimited contract,English,1000+,Product,No,,
33.0,male,munich,Software Development,11.0,6.0,Senior,,".NET, SQL",80000.0,,,64000,30,Full-time employee,Unlimited contract,English,101-1000,Product,No,0.0,600
35.0,female,frankfurt,Software Development,1.0,1.0,Junior,,"SQL, SAP / ABAP",50000.0,0,50000.0,0,30,Full-time employee,Unlimited contract,German,51-100,Consulting / Agency,No,0.0,0
28.0,male,munich,Software Development,5.0,5.0,Middle,,"Python, Javascript / Typescript, SQL, Rust, AWS, Kubernetes, Docker",72000.0,,62000.0,6200,28,Full-time employee,Unlimited contract,German,11-50,Product,No,,
36.0,male,munich,Operations & Support,16.0,0.0,Senior,sre,"Python, C/C++, Go",105000.0,150000,,,30,Full-time employee,Unlimited contract,English,1000+,Product,Yes,,900
27.0,male,munich,Data & AI,2.0,0.0,Junior,,"Python, SQL, AWS, Azure, Docker",49000.0,5000,,,30,Full-time employee,Unlimited contract,German,11-50,Consulting / Agency,No,,
36.0,male,berlin,Software Development,4.0,1.0,Middle,,"Python, SQL, Kubernetes, Docker",55000.0,0,55000.0,0,28,Full-time employee,Unlimited contract,English,101-1000,Product,No,20.0,
38.0,male,berlin,Software Development,5.0,1.0,Middle,,"Kotlin, Java / Scala, Google Cloud, Kubernetes, Docker",66000.0,0,60000.0,60000,28,Full-time employee,Unlimited contract,English,101-1000,Product,No,,
28.0,male,berlin,Software Development,6.0,1.0,Middle,,"Kotlin, Java / Scala",85000.0,10000,,,32,Full-time employee,Unlimited contract,English,1000+,Product,No,,440
25.0,male,berlin,Software Development,8.0,0.0,Senior,clojure,"Swift, Javascript / Typescript, Java / Scala, Clojure",85000.0,10000,,,24,Full-time employee,Unlimited contract,English,51-100,Startup,No,,
30.0,male,berlin,Software Development,6.0,1.0,Senior,,"Python, Javascript / Typescript, SQL, SAP / ABAP",79000.0,10000,77000.0,0,27,Full-time employee,Unlimited contract,English,1000+,Product,No,,700
